Template,TemplateID
[#7;a:5]:[c:4]:[c:3]:[c;H0;D3;+0:1](:[#7;a:2])-[N;H0;D3;+0:7](-[C:6])-[C:8]>>O-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[c:4]:[#7;a:5].[C:6]-[NH;D2;+0:7]-[C:8],5379
[C:4]=[C:3]\[C:2]-[NH2;D1;+0:1]>>C-C(-C)(-C)-O-C(=O)-[NH;D2;+0:1]-[C:2]/[C:3]=[C:4],5380
[#7;a:3]:[c:4]:[c:5]-[NH;D2;+0:6]-[CH2;D2;+0:1]-[C:2]>>Br-[CH2;D2;+0:1]-[C:2].[#7;a:3]:[c:4]:[c:5]-[NH2;D1;+0:6],5381
[#16;a:3]:[c:2](:[#7;a:4])-[NH2;D1;+0:1]>>C-C(=O)-[NH;D2;+0:1]-[c:2](:[#16;a:3]):[#7;a:4],5382
[#16;a:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[N;H0;D3;+0:6](-[C:5])-[c:7]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#16;a:4].[C:5]-[NH;D2;+0:6]-[c:7],5383
[#7;a:4]:[c:3](:[c:5]:[#7;a:6])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:8]-[C:7]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3](:[#7;a:4]):[c:5]:[#7;a:6].[C:7]-[NH2;D1;+0:8],5384
[#7:5]-[C:4](=[O;D1;H0:6])-[C;H0;D4;+0:1](-[c:2])(-[c:3])-[N;H0;D3;+0:11](-[C:12])-[C:10]-[C:8](-[#8:7])=[O;D1;H0:9]>>Cl-[C;H0;D4;+0:1](-[c:2])(-[c:3])-[C:4](-[#7:5])=[O;D1;H0:6].[#8:7]-[C:8](=[O;D1;H0:9])-[C:10]-[NH;D2;+0:11]-[C:12],5385
[#16;a:2]:[c;H0;D3;+0:1](-[C;H0;D2;+0:7]#[C:6]):[c:3]:[c:4]:[#7;a:5]>>I-[c;H0;D3;+0:1](:[#16;a:2]):[c:3]:[c:4]:[#7;a:5].[C:6]#[CH;D1;+0:7],5386
[#16;a:8]:[c:9](:[#7;a:10])-[NH;D2;+0:11]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]1:[c:4]:[#7;a:5]:[#7;a:6]:[c:7]:1>>C-C-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]1:[c:4]:[#7;a:5]:[#7;a:6]:[c:7]:1.[#16;a:8]:[c:9](:[#7;a:10])-[NH2;D1;+0:11],5387
[#7;a:3]:[c:2](-[CH;D2;+0:1]=[N;H0;D2;+0:8]-[S;H0;D3;+0:7](-[C:6])=[O;D1;H0:9]):[c:4]:[#7;a:5]>>O=[CH;D2;+0:1]-[c:2](:[#7;a:3]):[c:4]:[#7;a:5].[C:6]-[S@@;H0;D3;+0:7](-[NH2;D1;+0:8])=[O;D1;H0:9],5388
[#7;a:4]:[#7;a:5]:[c:6]-[NH;D2;+0:7]-[CH2;D2;+0:1]-[C:2]=[C;D1;H2:3]>>Br-[CH2;D2;+0:1]-[C:2]=[C;D1;H2:3].[#7;a:4]:[#7;a:5]:[c:6]-[NH2;D1;+0:7],5389
[C:8]-[c:7]1:[c:6]:[c:5]:[c:4](-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[NH;D2;+0:11]-[c:12]):[c:10]:[c:9]:1>>O-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4]1:[c:5]:[c:6]:[c:7](-[C:8]):[c:9]:[c:10]:1.[NH2;D1;+0:11]-[c:12],5390
[#7;a:9]:[c:8]:[c;H0;D3;+0:6](:[c:7])-[c;H0;D3;+0:1](:[c:2]):[c:3]-[C:4]=[O;D1;H0:5]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3]-[C:4]=[O;D1;H0:5].C-C1(-C)-O-B(-[c;H0;D3;+0:6](:[c:7]):[c:8]:[#7;a:9])-O-C-1(-C)-C,5391
[#7;a:5]:[#7;a:4]:[c;H0;D3;+0:2](-[CH3;D1;+0:1]):[c:3]>>C-B1-O-B(-C)-O-B(-[CH3;D1;+0:1])-O-1.Cl-[c;H0;D3;+0:2](:[c:3]):[#7;a:4]:[#7;a:5],5392
[#7:3]-[C:2](-[NH2;D1;+0:1])=[O;D1;H0:4]>>O=C(-[NH;D2;+0:1]-[C:2](-[#7:3])=[O;D1;H0:4])-c1:c:c:c:c:c:1,5393
[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[N;H0;D3;+0:5](-[C:4])-[C:6]-[C:7]=[C;D1;H2:8]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[C:4]-[NH;D2;+0:5]-[C:6]-[C:7]=[C;D1;H2:8],5394
[#16;a:4]:[c:5]-[NH;D2;+0:6]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#16;a:4]:[c:5]-[NH2;D1;+0:6],5395
[#7;a:3]:[c:2]:[c;H0;D3;+0:1](:[c:4]:[c:5]:[#7;a:6])-[c;H0;D3;+0:7](:[c:8]):[c:9]:[#7;a:10]>>Br-[c;H0;D3;+0:1](:[c:2]:[#7;a:3]):[c:4]:[c:5]:[#7;a:6].O-B(-O)-[c;H0;D3;+0:7](:[c:8]):[c:9]:[#7;a:10],5396
[#16;a:3]:[c:2](-[CH2;D2;+0:1]-[N;H0;D3;+0:7](-[C:6])-[C:8]):[c:4]:[#7;a:5]>>O=[CH;D2;+0:1]-[c:2](:[#16;a:3]):[c:4]:[#7;a:5].[C:6]-[NH;D2;+0:7]-[C:8],5397
[C:3]-[c;H0;D3;+0:2]1:[cH;D2;+0:1]:[s;H0;D2;+0:6]:[c;H0;D3;+0:5](-[c;H0;D3;+0:7](:[c:8]):[c:9]):[n;H0;D2;+0:4]:1>>Br-[CH2;D2;+0:1]-[C;H0;D3;+0:2](=O)-[C:3].[NH2;D1;+0:4]-[C;H0;D3;+0:5](=[S;H0;D1;+0:6])-[c;H0;D3;+0:7](:[c:8]):[c:9],5398
[#8:1]-[C:2](=[O;D1;H0:3])-[C:4]-[NH;D2;+0:5]-[C;H0;D3;+0:6](=[O;D1;H0:7])-[O;H0;D2;+0:9]-[C:8]>>[#8:1]-[C:2](=[O;D1;H0:3])-[C:4]-[N;H0;D2;+0:5]=[C;H0;D2;+0:6]=[O;D1;H0:7].[C:8]-[OH;D1;+0:9],5399
[C:3]=[C:4]/[C:5](=[O;D1;H0:6])-[O;H0;D2;+0:7]-[CH2;D2;+0:1]-[C;D1;H3:2]>>I-[CH2;D2;+0:1]-[C;D1;H3:2].[C:3]=[C:4]/[C:5](=[O;D1;H0:6])-[OH;D1;+0:7],5400
[C;D1;H3:7]-[n;H0;D3;+0:8]1:[c:9]:[c:10]:[n;H0;D2;+0:11]:[c;H0;D3;+0:1]:1-[c;H0;D3;+0:2]1:[#8;a:3]:[c:4]:[#7;a:5]:[c:6]:1>>O-[C;H0;D3;+0:1](=O)-[c;H0;D3;+0:2]1:[#8;a:3]:[c:4]:[#7;a:5]:[c:6]:1.[C;D1;H3:7]-[NH;D2;+0:8]-[c:9]:[c:10]-[NH2;D1;+0:11],5401
[#7;a:5]:[n;H0;D3;+0:6](-[CH2;D2;+0:1]-[C:2](-[#8:3])=[O;D1;H0:4]):[c:7]:[#7;a:8]:[#7;a:9]>>Br-[CH2;D2;+0:1]-[C:2](-[#8:3])=[O;D1;H0:4].[#7;a:5]:[nH;D2;+0:6]:[c:7]:[#7;a:8]:[#7;a:9],5402
[#8:8]-[C:7](=[O;D1;H0:9])-[C:6]-[C;H0;D3;+0:1](-[C:2]-[C:3](-[#8:4])=[O;D1;H0:5])=[CH;D2;+0:13]-[C:11](-[#8:10])=[O;D1;H0:12]>>O=[C;H0;D3;+0:1](-[C:2]-[C:3](-[#8:4])=[O;D1;H0:5])-[C:6]-[C:7](-[#8:8])=[O;D1;H0:9].[#8:10]-[C:11](=[O;D1;H0:12])-[CH;D2;+0:13]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,5403
[#7;a:3]:[c:2](-[CH2;D2;+0:1]-[N;H0;D3;+0:7](-[C:6])-[C:8]):[c:4]:[#7;a:5]>>Cl-[CH2;D2;+0:1]-[c:2](:[#7;a:3]):[c:4]:[#7;a:5].[C:6]-[NH;D2;+0:7]-[C:8],5404
[#7;a:4]:[#7;a:5]:[c:6]-[O;H0;D2;+0:7]-[C;H0;D3;+0:1](-[#8:2])=[O;D1;H0:3]>>Cl-[C;H0;D3;+0:1](-[#8:2])=[O;D1;H0:3].[#7;a:4]:[#7;a:5]:[c:6]-[OH;D1;+0:7],5405
[C:6]-[NH;D2;+0:7]-[C;H0;D3;+0:1](=[O;D1;H0:2])/[C:3]=[C:4]/[C:5]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])/[C:3]=[C:4]/[C:5].[C:6]-[NH2;D1;+0:7],5406
[#7;a:3]:[c:2](-[CH;D2;+0:1]=[N;H0;D2;+0:6]-[O;D1;H1:7]):[c:4]:[#7;a:5]>>O=[CH;D2;+0:1]-[c:2](:[#7;a:3]):[c:4]:[#7;a:5].[NH2;D1;+0:6]-[O;D1;H1:7],5407
[F;D1;H0:4]-[C:3](-[F;D1;H0:5])(-[F;D1;H0:6])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:7]-[C:8]-[C:9](=[O;D1;H0:10])-[O;D1;H1:11]>>C-C-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3](-[F;D1;H0:4])(-[F;D1;H0:5])-[F;D1;H0:6].[NH2;D1;+0:7]-[C:8]-[C:9](=[O;D1;H0:10])-[O;D1;H1:11],5408
[#7;a:4]:[c:5](:[#7;a:6])-[NH;D2;+0:7]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#7;a:4]:[c:5](:[#7;a:6])-[NH2;D1;+0:7],5409
[#7;a:6]:[c:5]:[c:3](:[#8;a:4]):[c;H0;D3;+0:1](:[c:2])-[CH2;D2;+0:7]-[C;D1;H3:8]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3](:[#8;a:4]):[c:5]:[#7;a:6].I-[CH2;D2;+0:7]-[C;D1;H3:8],5410
[#7;a:3]:[c:2]-[CH2;D2;+0:1]-[NH;D2;+0:6]-[c:5]:[#7;a:4]>>Cl-[CH2;D2;+0:1]-[c:2]:[#7;a:3].[#7;a:4]:[c:5]-[NH2;D1;+0:6],5411
[O;D1;H0:1]=[C:2](-[O;D1;H1:3])-[CH;D3;+0:4]1-[C:9]-[#7:8]-[C:7]-[CH;D3;+0:5]-1-[c:6]>>[O;D1;H0:1]=[C:2](-[O;D1;H1:3])-[C;H0;D3;+0:4]1=[C;H0;D3;+0:5](-[c:6])-[C:7]-[#7:8]-[C:9]-1,5412
[#7:6]-[C:7](=[O;D1;H0:8])-[C:9]-[NH;D2;+0:10]-[CH;D3;+0:1](-[C:2])-[C:3](-[#8:4])=[O;D1;H0:5]>>Br-[CH;D3;+0:1](-[C:2])-[C:3](-[#8:4])=[O;D1;H0:5].[#7:6]-[C:7](=[O;D1;H0:8])-[C:9]-[NH2;D1;+0:10],5413
[#7:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH;D2;+0:8]-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[#7:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH2;D1;+0:8],5414
[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5]2-[CH2;D2;+0:6]-[CH2;D2;+0:7]-[C;H0;D3;+0:8]3=[C;H0;D3;+0:9]-2-[C;H0;D3;+0:10](=[N;H0;D2;+0:16]-1)-[CH;D2;+0:11]=[N;H0;D2;+0:12]-[NH;D2;+0:13]-[C;H0;D3;+0:14]-3=[O;D1;H0:15]>>[#8:1]-[C:2]-[n;H0;D3;+0:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5]2:[cH;D2;+0:6]:[cH;D2;+0:7]:[c;H0;D3;+0:8]3:[c;H0;D3;+0:9]:2:[c;H0;D3;+0:10](:[cH;D2;+0:11]:[n;H0;D2;+0:12]:[nH;D2;+0:13]:[c;H0;D3;+0:14]:3=[O;D1;H0:15]):[n;H0;D2;+0:16]:1,5415
[#7:4]-[#7:3]=[C;H0;D3;+0:1](-[C:2])-[c;H0;D3;+0:5](:[c:6]):[c:7]>>Cl-[C;H0;D3;+0:1](-[C:2])=[#7:3]-[#7:4].O-B(-O)-[c;H0;D3;+0:5](:[c:6]):[c:7],5416
[C:1]-[N;H0;D3;+0:2](-[C;D1;H3:3])-[C;H0;D3;+0:5](=[O;D1;H0:4])-[NH;D2;+0:6]-[C:7]=[O;D1;H0:8]>>[C:1]-[NH;D2;+0:2]-[C;D1;H3:3].[O;D1;H0:4]=[C;H0;D2;+0:5]=[N;H0;D2;+0:6]-[C:7]=[O;D1;H0:8],5417
[#8:9]-[C:8](=[O;D1;H0:10])-[c:7]1:[c:6]:[#7;a:5]:[c:4]:[c;H0;D3;+0:3]:1-[CH2;D2;+0:1]-[c:2]>>Br-[CH2;D2;+0:1]-[c:2].C-C1(-C)-O-B(-[c;H0;D3;+0:3]2:[c:4]:[#7;a:5]:[c:6]:[c:7]:2-[C:8](-[#8:9])=[O;D1;H0:10])-O-C-1(-C)-C,5418
[C:4]-[NH;D2;+0:5]-[C;H0;D3;+0:6](=[O;D1;H0:7])-[N;H0;D3;+0:2](-[C;D1;H3:1])-[c:3]>>[C;D1;H3:1]-[NH;D2;+0:2]-[c:3].[C:4]-[N;H0;D2;+0:5]=[C;H0;D2;+0:6]=[O;D1;H0:7],5419
[O;D1;H0:2]=[C;H0;D3;+0:1]1-[C:3]-[#7:4]-[C:5](=[O;D1;H0:7])-[NH;D2;+0:6]-1>>C-C-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]-[#7:4]-[C:5](-[NH2;D1;+0:6])=[O;D1;H0:7],5420
[#8:6]-[C:7](=[O;D1;H0:8])-[C:9]-[NH;D2;+0:10]-[C@@H;D3;+0:1](-[C:2])-[C:3](-[#8:4])=[O;D1;H0:5]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3](-[#8:4])=[O;D1;H0:5].[#8:6]-[C:7](=[O;D1;H0:8])-[C:9]-[NH2;D1;+0:10],5421
[C:2]=[CH;D2;+0:1]/[n;H0;D3;+0:4](:[c:3]):[c:5]>>Br-[CH;D2;+0:1]=[C:2].[c:3]:[nH;D2;+0:4]:[c:5],5422
[OH;D1;+0:1]-[CH2;D2;+0:2]-[c:3]>>[O;H0;D1;+0:1]=[C;H0;D3;+0:2](-[c:3])-O-C-c1:c:c:c:c:c:1,5423
[c:8]-[O;H0;D2;+0:7]-[c;H0;D3;+0:1]1:[c:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:1>>F-[c;H0;D3;+0:1]1:[c:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:1.[O-;H0;D1:7]-[c:8],5424
[#8:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:4]-[C:5]=[O;D1;H0:6]>>Cl-[C;H0;D3;+0:1](-[#8:2])=[O;D1;H0:3].[NH2;D1;+0:4]-[C:5]=[O;D1;H0:6],5425
[#7;a:4]:[c:3](:[c:5]:[#7;a:6])-[C;H0;D3;+0:1](-[NH2;D1;+0:7])=[O;D1;H0:2]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3](:[#7;a:4]):[c:5]:[#7;a:6].[NH3;D0;+0:7],5426
[#8;a:5]:[c:4]:[c:3]-[C;H0;D3;+0:1](-[NH2;D1;+0:6])=[O;D1;H0:2]>>C-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[c:4]:[#8;a:5].[NH4+;D0:6],5427
[#7:5]-[C:4](=[O;D1;H0:6])-[#7:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:11]-[C:10]-[C:8](-[#8:7])=[O;D1;H0:9]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[#7:3]-[C:4](-[#7:5])=[O;D1;H0:6].[#8:7]-[C:8](=[O;D1;H0:9])-[C:10]-[NH2;D1;+0:11],5428
[#8;a:5]:[#7;a:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:6]-[c:7]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#7;a:4]:[#8;a:5].[NH2;D1;+0:6]-[c:7],5429
[#7;a:3]:[n;H0;D3;+0:4](-[CH2;D2;+0:1]-[c:2]):[c:5]:[c:6]:[#7;a:7]>>Cl-[CH2;D2;+0:1]-[c:2].[#7;a:3]:[nH;D2;+0:4]:[c:5]:[c:6]:[#7;a:7],5430
[#7;a:1]:[c:2](:[#7;a:3])-[C@@H;D3;+0:4](-[C:5])-[OH;D1;+0:6]>>[#7;a:1]:[c:2](:[#7;a:3])-[C;H0;D3;+0:4](-[C:5])=[O;H0;D1;+0:6],5431
[#7;a:1]:[c:2]:[c:3]-[C;H0;D3;+0:4](=[O;D1;H0:5])-[NH;D2;+0:7]-[C;D1;H3:6]>>[#7;a:1]:[c:2]:[c:3]-[C;H0;D3;+0:4](-[O-])=[O;D1;H0:5].[C;D1;H3:6]-[NH2;D1;+0:7],5432
[#7:4]-[C:5](=[O;D1;H0:6])/[C:7]=[CH;D2;+0:8]/[c;H0;D3;+0:1](:[c:2]):[c:3]>>Cl-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7:4]-[C:5](=[O;D1;H0:6])-[C:7]=[CH2;D1;+0:8],5433
[#8:5]-[C:4](=[O;D1;H0:6])-[c:3]:[c;H0;D3;+0:1](:[c:2])-[CH2;D2;+0:7]-[C;D1;H3:8]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3]-[C:4](-[#8:5])=[O;D1;H0:6].O-B(-O)-[CH2;D2;+0:7]-[C;D1;H3:8],5434
[#7;a:3]:[n;H0;D3;+0:4](:[c:5])-[CH2;D2;+0:1]-[C:2]>>I-[CH2;D2;+0:1]-[C:2].[#7;a:3]:[nH;D2;+0:4]:[c:5],5435
[#8:5]-[C:6](=[O;D1;H0:7])-[C:8]-[NH;D2;+0:9]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]=[C:4]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]=[C:4].[#8:5]-[C:6](=[O;D1;H0:7])-[C:8]-[NH2;D1;+0:9],5436
[C;D1;H3:4]-[O;H0;D2;+0:5]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[C;D1;H3:4]-[OH;D1;+0:5],5437
[#8;a:2]:[c;H0;D3;+0:1](:[c:3])-[C;H0;D2;+0:5]#[C:4]>>Br-[c;H0;D3;+0:1](:[#8;a:2]):[c:3].[C:4]#[CH;D1;+0:5],5438
[#7;a:4]:[c:5](:[#7;a:6]:[#7;a:7]):[n;H0;D3;+0:8](:[c:9])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7;a:4]:[c:5](:[#7;a:6]:[#7;a:7]):[nH;D2;+0:8]:[c:9],5439
[N;D1;H2:3]-[N;H0;D2;+0:4]=[CH;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[N;D1;H2:3]-[NH2;D1;+0:4],5440
[#7;a:1]:[#8;a:2]:[c:3]-[C;H0;D3;+0:4](-[C:5])=[O;H0;D1;+0:6]>>[#7;a:1]:[#8;a:2]:[c:3]-[CH;D3;+0:4](-[C:5])-[OH;D1;+0:6],5441
[C:4]-[c;H0;D3;+0:3]1:[c;H0;D3;+0:1](-[C;D1;H3:2]):[n;H0;D3;+0:8](-[c;H0;D3;+0:9](:[c:10]):[c:11]):[n;H0;D2;+0:7]:[c;H0;D3;+0:5]:1-[C;D1;H3:6]>>O=[C;H0;D3;+0:1](-[C;D1;H3:2])-[CH;D3;+0:3](-[C:4])-[C;H0;D3;+0:5](=O)-[C;D1;H3:6].[NH2;D1;+0:7]-[NH;D2;+0:8]-[c;H0;D3;+0:9](:[c:10]):[c:11],5442
[#7;a:3]:[c:2]:[c;H0;D3;+0:1](:[c:4]:[c:5]:[#7;a:6])-[c;H0;D3;+0:7](:[c:8]):[c:9]>>Br-[c;H0;D3;+0:1](:[c:2]:[#7;a:3]):[c:4]:[c:5]:[#7;a:6].C-C1(-C)-O-B(-[c;H0;D3;+0:7](:[c:8]):[c:9])-O-C-1(-C)-C,5443
[#7:4]-[C:3](=[O;D1;H0:5])-[CH;D3;+0:1](-[C;D1;H3:2])-[N;H0;D3;+0:7](-[C:6])-[C:8]>>Br-[CH;D3;+0:1](-[C;D1;H3:2])-[C:3](-[#7:4])=[O;D1;H0:5].[C:6]-[NH;D2;+0:7]-[C:8],5444
[#8;a:8]:[c:7]:[c:6]-[C;H0;D3;+0:4](-[C:5])=[CH;D2;+0:1]-[C:2]#[N;D1;H0:3]>>C-C-O-P(=O)(-O-C-C)-[CH2;D2;+0:1]-[C:2]#[N;D1;H0:3].O=[C;H0;D3;+0:4](-[C:5])-[c:6]:[c:7]:[#8;a:8],5445
[#7:1]-[C:2](=[O;D1;H0:3])-[CH;D3;+0:4](-[C:5])-[CH;D3;+0:7](-[OH;D1;+0:6])-[c:8]>>[#7:1]-[C:2](=[O;D1;H0:3])-[CH2;D2;+0:4]-[C:5].[O;H0;D1;+0:6]=[CH;D2;+0:7]-[c:8],5446
[#7;a:6]:[c:5]:[c:3](:[#7;a:4])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[N;H0;D3;+0:8](-[C:7])-[C:9]>>C-C-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3](:[#7;a:4]):[c:5]:[#7;a:6].[C:7]-[NH;D2;+0:8]-[C:9],5447
[#7:6]-[C:7](=[O;D1;H0:8])-[C:9]-[NH;D2;+0:10]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[c:4]:[#7;a:5]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[c:4]:[#7;a:5].[#7:6]-[C:7](=[O;D1;H0:8])-[C:9]-[NH3+;D1:10],5448
[c:2]-[NH;D2;+0:1]-[c:3]>>C-C(=O)-[N;H0;D3;+0:1](-[c:2])-[c:3],5449
[#16:4]-[C:5](=[#7:6])-[N;H0;D3;+0:7](-[C:8])-[CH;D3;+0:1](-[C:2])-[C:3]>>Br-[CH;D3;+0:1](-[C:2])-[C:3].[#16:4]-[C:5](=[#7:6])-[NH;D2;+0:7]-[C:8],5450
[#7:6]-[C:5](=[O;D1;H0:7])-[C:4]-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[O;H0;D2;+0:9]-[C:8]>>F-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[C:4]-[C:5](-[#7:6])=[O;D1;H0:7].[C:8]-[OH;D1;+0:9],5451
[C:5]-[N;H0;D3;+0:6](-[C:7])-[C;H0;D3;+0:3](=[S;D1;H0:4])-[NH;D2;+0:2]-[C;D1;H3:1]>>[C;D1;H3:1]-[N;H0;D2;+0:2]=[C;H0;D2;+0:3]=[S;D1;H0:4].[C:5]-[NH;D2;+0:6]-[C:7],5452
[#7:2]-[CH2;D2;+0:1]-[C:3]-[#7:4]>>O=[C;H0;D3;+0:1](-[#7:2])-[C:3]-[#7:4],5453
[C:1]#[C;H0;D2;+0:2]-[C;H0;D4;+0:4](-[C:3])(-[OH;D1;+0:5])-[c:6]>>[C:1]#[C;H0;D2;+0:2]-[Mg+].[C:3]-[C;H0;D3;+0:4](=[O;H0;D1;+0:5])-[c:6],5454
[#8:5]-[C:4](=[O;D1;H0:6])-[C:2](=[C;D1;H2:3])-[CH2;D2;+0:1]-[N;H0;D3;+0:8](-[C;D1;H3:7])-[C;D1;H3:9]>>Br-[CH2;D2;+0:1]-[C:2](=[C;D1;H2:3])-[C:4](-[#8:5])=[O;D1;H0:6].[C;D1;H3:7]-[NH;D2;+0:8]-[C;D1;H3:9],5455
[#7:3]-[C:4](=[O;D1;H0:5])/[C;H0;D3;+0:6](-[c:7])=[CH;D2;+0:1]\[c:2]>>O=[CH;D2;+0:1]-[c:2].[#7:3]-[C:4](=[O;D1;H0:5])-[CH2;D2;+0:6]-[c:7],5456
[#8:5]-[C:4](=[O;D1;H0:6])-[C:3]-[C;H0;D3;+0:1](-[NH2;D1;+0:7])=[O;D1;H0:2]>>C-C-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]-[C:4](-[#8:5])=[O;D1;H0:6].[NH3;D0;+0:7],5457
[NH2;D1;+0:1]-[c:2]>>O=C1-[N;H0;D3;+0:1](-[c:2])-C(=O)-c2:c:c:c:c:c:2-1,5458
[O;D1;H0:2]=[C;H0;D3;+0:1](-[c:3])-[N;H0;D3;+0:7]1-[C:6]-[C:5]=[C:4]-[C:8]-1>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[C:4]1=[C:5]-[C:6]-[NH;D2;+0:7]-[C:8]-1,5459
[#7:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH;D2;+0:8]-[C;H0;D3;+0:1](-[#7:2])=[O;D1;H0:3]>>Cl-[C;H0;D3;+0:1](-[#7:2])=[O;D1;H0:3].[#7:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH2;D1;+0:8],5460
[#7;a:7]:[c:6]:[c;H0;D3;+0:4](:[c:5])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>I-[c;H0;D3;+0:1](:[c:2]):[c:3].I-[c;H0;D3;+0:4](:[c:5]):[c:6]:[#7;a:7],5461
[#7;a:8]:[c;H0;D3;+0:7](:[#7;a:9]:[c:10]:[#7;a:11])-[c;H0;D3;+0:1]1:[c:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:1>>C-C1(-C)-O-B(-[c;H0;D3;+0:1]2:[c:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:2)-O-C-1(-C)-C.Cl-[c;H0;D3;+0:7](:[#7;a:8]):[#7;a:9]:[c:10]:[#7;a:11],5462
[C:1]-[N;H0;D3;+0:2](-[C:3]-[C:4]#[C;D1;H1:5])-[C;H0;D3;+0:7](=[O;D1;H0:6])-[NH;D2;+0:8]-[c:9]>>[C:1]-[NH;D2;+0:2]-[C:3]-[C:4]#[C;D1;H1:5].[O;D1;H0:6]=[C;H0;D2;+0:7]=[N;H0;D2;+0:8]-[c:9],5463
[C:2]=[C;H0;D3;+0:1](-[C:3]=[O;D1;H0:4])-[c;H0;D3;+0:5](:[c:6]):[c:7]>>I-[C;H0;D3;+0:1](=[C:2])-[C:3]=[O;D1;H0:4].O-B(-O)-[c;H0;D3;+0:5](:[c:6]):[c:7],5464
[#16;a:4]:[c:5]:[c:6]-[NH;D2;+0:7]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[#16;a:4]:[c:5]:[c:6]-[NH2;D1;+0:7],5465
